opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.01,0.01,0.2,3,0.9,56.5,18.5,0.1,0.0,0.3,0.6
0.01,0.01,0.5,3,0.8,61.1,24.221684499637924,0.2,0.0,0.0,0.8
0.02,0.02,0.001,3,0.8,53.2,25.979992301769453,0.2,0.0,0.0,0.8
0.02,0.02,0.01,3,1.0,51.9,19.831540535218135,0.0,0.0,0.0,1.0
0.02,0.02,0.05,3,0.9,50.5,27.104427682576144,0.1,0.0,0.3,0.6
0.02,0.02,0.1,3,1.0,45.5,20.703864373589777,0.0,0.0,0.5,0.5
0.02,0.02,0.2,4,1.0,47.5,15.85717503214239,0.0,0.0,0.0,1.0
0.02,0.02,0.5,3,1.0,57.0,21.60092590608097,0.0,0.0,0.0,1.0
0.05,0.05,0.001,3,0.9,57.9,23.81365154695936,0.1,0.0,0.1,0.8
0.05,0.05,0.01,3,1.0,41.5,13.734991809244008,0.0,0.0,0.5,0.5
0.05,0.05,0.05,3,1.0,56.7,19.277188591700813,0.0,0.0,0.0,1.0
0.05,0.05,0.1,3,0.9,50.9,22.531977276750478,0.1,0.0,0.0,0.9
0.05,0.05,0.2,3,1.0,49.1,18.56044180508643,0.0,0.0,0.2,0.8
0.05,0.05,0.5,3,1.0,47.0,16.112107248898266,0.0,0.0,0.1,0.9
0.1,0.1,0.001,7,0.9,60.5,23.208834524809728,0.1,0.0,0.0,0.9
0.1,0.1,0.01,7,1.0,50.4,20.065891457894413,0.0,0.0,0.1,0.9
0.1,0.1,0.05,3,0.9,53.0,27.345932055792137,0.1,0.0,0.4,0.5
0.1,0.1,0.1,3,1.0,40.8,13.082813153141032,0.0,0.0,0.1,0.9
0.1,0.1,0.2,7,1.0,50.1,20.949701668520245,0.0,0.0,0.1,0.9
0.1,0.1,0.5,7,1.0,62.8,18.829763673503713,0.0,0.0,0.1,0.9
0.2,0.2,0.001,3,0.9,49.3,20.22399564873371,0.1,0.0,0.1,0.8
0.2,0.2,0.01,3,1.0,54.0,20.875823337056673,0.0,0.0,0.1,0.9
0.2,0.2,0.05,7,1.0,44.6,18.396738841435997,0.0,0.0,0.3,0.7
0.2,0.2,0.1,3,1.0,60.7,22.503555274667157,0.0,0.0,0.1,0.9
0.2,0.2,0.2,7,0.9,51.6,21.597222043586996,0.1,0.0,0.1,0.8
0.2,0.2,0.5,3,0.9,51.3,24.730750089716242,0.1,0.0,0.1,0.8
0.5,0.5,0.001,7,0.9,41.4,19.68349562450735,0.1,0.0,0.1,0.8
0.5,0.5,0.01,7,1.0,44.0,10.526157893552615,0.0,0.0,0.0,1.0
0.5,0.5,0.05,3,1.0,48.5,21.0535032714273,0.0,0.0,0.0,1.0
0.5,0.5,0.1,3,1.0,56.8,21.013329103214463,0.0,0.0,0.1,0.9
0.5,0.5,0.2,3,0.9,49.5,21.578924903711027,0.1,0.0,0.1,0.8
0.5,0.5,0.5,3,0.9,51.4,25.53898979991182,0.1,0.0,0.1,0.8
1,1,0.001,3,1.0,42.9,15.572090418437725,0.0,0.0,0.1,0.9
1,1,0.01,3,1.0,47.0,13.038404810405298,0.0,0.0,0.0,1.0
1,1,0.05,3,1.0,46.2,14.012851244482686,0.0,0.0,0.0,1.0
1,1,0.1,3,1.0,60.4,23.618636709175235,0.0,0.0,0.1,0.9
1,1,0.2,3,1.0,45.3,17.12921480979207,0.0,0.0,0.2,0.8
1,1,0.5,3,0.9,56.4,27.107932418390007,0.1,0.0,0.0,0.9
